timestamp_utc,session_id,step,event_type,action,url_before,url_after,http_status,load_time_ms,page_title,candidate_count,chosen_text,chosen_href,content_sha256,viewport,user_agent,error
2026-07-04T16:07:57+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,0,login,submit_login,,http://10.34.100.110:8031/index.php/efgh/submissions,200,4263,,9,[username],http://10.34.100.110:8031/index.php/efgh/login,d63589f5b62327504582cd87864462569778b1bf05f606175ade27c0399a75d7,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:07:58+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,1,page_view,open_admin_start_url,http://10.34.100.110:8031/index.php/efgh/submissions,http://10.34.100.110:8031/index.php/efgh/management/settings/website,200,315,,16,[admin_start],http://10.34.100.110:8031/index.php/efgh/management/settings/website,79e26fb62810faefc4aa43e3d4851fc86d6b44ce54e92d3b4ab7de0be338de55,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:01+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,2,dummy_upload,auto_dummy_upload_continue,http://10.34.100.110:8031/index.php/efgh/management/settings/website,http://10.34.100.110:8031/index.php/efgh/management/settings/website,200,1604,,5,"normal_activity_dummy_upload.png id=html5_1jsmu615m1qgv1u5jdkg111617rn4 accept=.jpg,.jpeg,.png,.svg,.gif",http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/website-settings-tab/show-file-upload-form?fileSettingName=pageHeaderLogoImage&fileType=image,3891fadfb4f5899c286e29d13c583380a1fc4911f1ac8a9f2e9df5ffda2da94b,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:04+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,3,navigation,open_internal_link,http://10.34.100.110:8031/index.php/efgh/management/settings/website,http://10.34.100.110:8031/index.php/efgh/management/settings/publication,200,162,,13,Workflow,http://10.34.100.110:8031/index.php/efgh/management/settings/publication,38b43e9a2ec6f5c391de61f40b31b43af04e30e5a187f0bf162158df1c075c93,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:07+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,4,navigation,open_internal_link,http://10.34.100.110:8031/index.php/efgh/management/settings/publication,http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/publication-settings-tab/show-tab?tab=submissionStage,200,150,,0,Submission,http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/publication-settings-tab/show-tab?tab=submissionStage,40fcf351d4563a7c3e60c6bffb9cf429b4f905f7aa4100cffd0647ecde6106ef,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:10+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,5,navigation,open_focus_seed_url,http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/publication-settings-tab/show-tab?tab=submissionStage,http://10.34.100.110:8031/index.php/efgh/manageIssues,200,161,,9,[focus_seed],http://10.34.100.110:8031/index.php/efgh/manageIssues,20a62b430a1724bca45ba1974d6b73d5635f9378e94a138b2ad4b9165882af89,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:12+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,6,navigation,open_internal_link,http://10.34.100.110:8031/index.php/efgh/manageIssues,http://10.34.100.110:8031/index.php/efgh/management/settings/publication,200,159,,13,Workflow,http://10.34.100.110:8031/index.php/efgh/management/settings/publication,38b43e9a2ec6f5c391de61f40b31b43af04e30e5a187f0bf162158df1c075c93,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:14+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,7,navigation,open_internal_link,http://10.34.100.110:8031/index.php/efgh/management/settings/publication,http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/publication-settings-tab/show-tab?tab=submissionStage,200,139,,0,Submission,http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/publication-settings-tab/show-tab?tab=submissionStage,dbd9f971643c5a14d3554fdf41c7b68494415a2751f9eea5f656170f09018072,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:19+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,8,navigation,open_focus_seed_url,http://10.34.100.110:8031/index.php/efgh/$$$call$$$/tab/settings/publication-settings-tab/show-tab?tab=submissionStage,http://10.34.100.110:8031/index.php/efgh/admin/index,200,224,,14,[focus_seed],http://10.34.100.110:8031/index.php/efgh/admin/index,9e191e976689e56d049e1ca31f04c9eb59caf52f271543e3fb35243f787cbdd5,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
2026-07-04T16:08:21+00:00,65b33893-32cf-4628-8e6a-b6f08ebfd8bd,9,navigation,open_internal_link,http://10.34.100.110:8031/index.php/efgh/admin/index,http://10.34.100.110:8031/index.php/efgh/management/settings/website,200,158,,16,Website,http://10.34.100.110:8031/index.php/efgh/management/settings/website,79e26fb62810faefc4aa43e3d4851fc86d6b44ce54e92d3b4ab7de0be338de55,1366x768,NormalActivityResearchBot/1.0 (authorized lab data collection; contact: researcher@example.local),
